true_label,prediction,count
why_verify_identity,verify_my_identity,31
Refund_not_showing_up,request_refund,21
get_physical_card,change_pin,20
unable_to_verify_identity,verify_my_identity,19
top_up_by_bank_transfer_charge,transfer_fee_charged,17
getting_spare_card,order_physical_card,14
get_physical_card,pin_blocked,14
beneficiary_not_allowed,failed_transfer,13
wrong_amount_of_cash_received,declined_cash_withdrawal,13
getting_virtual_card,get_disposable_virtual_card,12
transfer_not_received_by_recipient,pending_transfer,12
disposable_card_limits,get_disposable_virtual_card,12
top_up_failed,pending_top_up,12
cash_withdrawal_not_recognised,declined_cash_withdrawal,11
pin_blocked,change_pin,11
topping_up_by_card,automatic_top_up,10
exchange_via_app,exchange_charge,10
card_payment_wrong_exchange_rate,wrong_exchange_rate_for_cash_withdrawal,10
fiat_currency_support,exchange_via_app,10
topping_up_by_card,transfer_into_account,9
virtual_card_not_working,get_disposable_virtual_card,9
virtual_card_not_working,getting_virtual_card,9
balance_not_updated_after_bank_transfer,pending_transfer,8
top_up_reverted,top_up_failed,8
receiving_money,exchange_via_app,8
card_delivery_estimate,card_arrival,8
pending_cash_withdrawal,pending_transfer,8
fiat_currency_support,exchange_rate,8
topping_up_by_card,pending_top_up,8
virtual_card_not_working,card_not_working,7
order_physical_card,card_delivery_estimate,7
exchange_via_app,exchange_rate,7
wrong_exchange_rate_for_cash_withdrawal,cash_withdrawal_charge,7
receiving_money,transfer_into_account,7
compromised_card,lost_or_stolen_card,7
failed_transfer,declined_transfer,6
card_acceptance,supported_cards_and_currencies,6
order_physical_card,card_payment_fee_charged,6
apple_pay_or_google_pay,card_payment_not_recognised,6
card_arrival,card_delivery_estimate,6
balance_not_updated_after_bank_transfer,transfer_not_received_by_recipient,6
card_payment_not_recognised,direct_debit_payment_not_recognised,6
balance_not_updated_after_bank_transfer,transfer_timing,6
card_acceptance,card_linking,5
wrong_exchange_rate_for_cash_withdrawal,exchange_rate,5
why_verify_identity,unable_to_verify_identity,5
card_swallowed,card_not_working,5
card_payment_not_recognised,declined_card_payment,5
age_limit,transfer_into_account,5
transfer_fee_charged,extra_charge_on_statement,5
transfer_timing,pending_transfer,5
virtual_card_not_working,declined_card_payment,5
beneficiary_not_allowed,transfer_into_account,5
pending_transfer,transfer_timing,5
top_up_by_card_charge,card_payment_fee_charged,5
request_refund,cancel_transfer,5
declined_cash_withdrawal,declined_card_payment,5
compromised_card,card_not_working,5
