true_label,prediction,count
why_verify_identity,verify_my_identity,28
card_payment_wrong_exchange_rate,exchange_rate,28
verify_top_up,verify_my_identity,21
wrong_exchange_rate_for_cash_withdrawal,exchange_rate,20
exchange_charge,exchange_rate,20
card_delivery_estimate,card_arrival,18
Refund_not_showing_up,request_refund,18
unable_to_verify_identity,verify_my_identity,17
exchange_via_app,exchange_rate,16
transfer_into_account,receiving_money,16
get_physical_card,change_pin,15
edit_personal_details,change_pin,13
getting_spare_card,card_acceptance,13
top_up_by_bank_transfer_charge,transfer_fee_charged,12
declined_card_payment,card_payment_wrong_exchange_rate,12
order_physical_card,card_arrival,12
exchange_via_app,fiat_currency_support,11
why_verify_identity,unable_to_verify_identity,10
card_swallowed,card_not_working,10
get_disposable_virtual_card,disposable_card_limits,10
virtual_card_not_working,card_not_working,9
compromised_card,activate_my_card,9
visa_or_mastercard,activate_my_card,9
card_acceptance,activate_my_card,8
card_payment_fee_charged,extra_charge_on_statement,8
topping_up_by_card,transfer_into_account,8
order_physical_card,card_acceptance,8
card_linking,activate_my_card,8
age_limit,transfer_into_account,8
country_support,card_acceptance,8
top_up_by_bank_transfer_charge,transfer_not_received_by_recipient,8
pin_blocked,change_pin,8
transfer_not_received_by_recipient,pending_transfer,8
balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_bank_transfer,7
beneficiary_not_allowed,failed_transfer,7
disposable_card_limits,activate_my_card,7
cash_withdrawal_charge,transfer_fee_charged,7
top_up_by_card_charge,topping_up_by_card,7
visa_or_mastercard,card_linking,7
receiving_money,fiat_currency_support,7
fiat_currency_support,exchange_rate,7
wrong_amount_of_cash_received,declined_cash_withdrawal,7
apple_pay_or_google_pay,receiving_money,7
verify_source_of_funds,receiving_money,7
lost_or_stolen_card,compromised_card,7
balance_not_updated_after_cheque_or_cash_deposit,cash_withdrawal_not_recognised,7
getting_virtual_card,activate_my_card,7
balance_not_updated_after_bank_transfer,pending_transfer,7
order_physical_card,card_payment_fee_charged,7
pending_cash_withdrawal,pending_transfer,7
request_refund,cancel_transfer,7
wrong_exchange_rate_for_cash_withdrawal,card_payment_wrong_exchange_rate,6
getting_spare_card,activate_my_card,6
declined_cash_withdrawal,transfer_into_account,6
lost_or_stolen_phone,exchange_via_app,6
virtual_card_not_working,card_swallowed,6
get_physical_card,card_linking,6
card_delivery_estimate,transfer_timing,6
get_disposable_virtual_card,activate_my_card,6
card_not_working,card_acceptance,6
card_swallowed,compromised_card,6
top_up_by_card_charge,card_payment_fee_charged,6
card_payment_fee_charged,card_payment_wrong_exchange_rate,6
declined_transfer,failed_transfer,6
cash_withdrawal_not_recognised,card_swallowed,6
automatic_top_up,top_up_limits,6
atm_support,card_swallowed,6
top_up_by_card_charge,extra_charge_on_statement,6
get_physical_card,pin_blocked,6
card_about_to_expire,order_physical_card,6
wrong_exchange_rate_for_cash_withdrawal,extra_charge_on_statement,5
wrong_amount_of_cash_received,card_swallowed,5
wrong_amount_of_cash_received,cash_withdrawal_not_recognised,5
transfer_timing,pending_transfer,5
country_support,card_arrival,5
card_acceptance,card_arrival,5
beneficiary_not_allowed,transfer_not_received_by_recipient,5
getting_spare_card,card_arrival,5
beneficiary_not_allowed,transfer_into_account,5
